Gene name,chr,start,end
AC010336.7,19,7886977,7887096
RNU6-562P,X,75202703,75202809
AC090518.2,15,56634038,56634167
AC019117.1,7,17373201,17373326
AC099537.1,3,41687868,41688033
AC068631.2,3,186629936,186630211
RNU6-880P,1,42991438,42991544
AC012640.2,5,10292041,10292148
RNU4-66P,6,71652474,71652611
RNU6-739P,3,64511755,64511857
AC104305.1,3,41868998,41869095
RNA5SP350,11,111040098,111040208
RN7SKP17,14,76890263,76890613
RN7SL198P,10,12328132,12328389
RNU6-738P,5,27111569,27111674
RNU6-887P,4,39399149,39399248
AL137060.1,13,50104833,50105174
AC139667.1,3,47931808,47931914
SNORA6,3,39408389,39408539
AC026894.1,11,8877417,8877518
RNU6-1231P,10,102803929,102804031
RN7SL484P,15,99791209,99791410
AC097525.1,2,210265963,210266074
RNU6ATAC24P,3,195523087,195523221
RNY3P5,13,60789560,60789661
SNORD36C,9,133350847,133350912
RNU6-136P,2,218589214,218589320
RNU6-227P,17,76656320,76656422
RNU6-1172P,8,96431054,96431160
RNU6-828P,1,10163268,10163374
RNU6-752P,5,126755316,126755417
RN7SKP182,18,39016047,39016344
AL669914.3,6,30035916,30035983
AC211486.8,7,75381638,75381739
AL391647.2,X,41316488,41316589
RN7SL237P,20,38098414,38098700
SNORD46,1,44776490,44776593
AL139405.1,10,14391875,14392196
AC107055.1,4,166312935,166313034
RNU6-254P,12,19445949,19446055
RNA5SP112,2,177138699,177138797
RNU6-1053P,4,183705931,183706031
RNU6-1025P,11,948421,948524
RN7SL390P,12,54255627,54255910
RN7SL607P,20,20738433,20738731
AC097658.1,4,143309466,143309566
RNA5SP328,10,126145474,126145582
RN7SL170P,20,56688401,56688695
RNU6-204P,4,3044101,3044207
RNU6-1155P,16,58744251,58744357
RN7SL628P,15,30612724,30612960
RN7SKP114,9,34049966,34050244
AC114876.1,3,72926955,72927237
AL137247.1,13,32420390,32420516
SNORD116-6,15,25065026,25065121
RNU6-55P,CHR_HSCHR13_1_CTG3,18869185,18869291
RNA5SP36,13,94651397,94651529
RNU6-91P,14,99444306,99444412
AL096709.1,6,71126893,71127105
AC099850.1,17,59260748,59260846
RNU6-1148P,5,138069355,138069458
SNORA79B,14,20323179,20323326
RN7SL50P,18,8471831,8472128
AC055845.1,11,9279532,9279816
RN7SL558P,4,39761000,39761298
RNA5SP435,17,6600944,6601051
AP000577.1,11,74252414,74252552
RNU6-296P,7,123457988,123458094
AC104411.1,3,157153548,157153640
RN7SL236P,17,78370852,78371135
RNA5SP234,7,79654109,79654227
RNA5SP347,11,97657464,97657582
RNU4-61P,1,48447936,48448042
CR753819.1,CHR_HSCHR6_MHC_DBB_CTG1,31076788,31076887
RNA5SP173,4,178406695,178406830
SNORD36A,9,133350456,133350528
AL805917.1,CHR_HSCHR6_MHC_QBL_CTG1,30853833,30854135
RN7SL52P,21,9902344,9902627
RNU6-964P,2,229937814,229937882
RNU1-155P,1,148385829,148385963
RNA5SP84,2,11517397,11517503
AL772161.1,9,133337728,133337824
RNVU1-32,8,127999131,127999294
RNU1-18P,6,122211648,122211811
RNA5SP368,12,101779814,101779929
RNU4-14P,5,140397323,140397444
RNU2-43P,10,101307529,101307718
SNORD125,22,29333163,29333258
RNU4-83P,8,100831728,100831860
RN7SL822P,4,55215624,55215919
RNA5SP135,3,68882967,68883091
RNU7-161P,5,40911067,40911128
AL137060.2,13,50068107,50068164
RN7SL248P,10,46648948,46649276
RN7SL124P,2,151372003,151372287
SNORD3D,17,19112420,19112636
RN7SL769P,12,110360452,110360746
RNU6-1240P,1,186311825,186311928
AL133244.1,2,32945339,32945451
SNORD45C,1,75787072,75787150
RN7SKP68,5,102302504,102302810
RN7SL318P,8,5142411,5142707
RNU6-720P,3,149917342,149917449
AC023830.4,16,4658851,4659151
RNU6-835P,14,87996345,87996448
AL138963.2,13,45336314,45336447
RNA5SP415,16,35750061,35750175
SERTAD4,CHR_HG1832_PATCH,210232796,210246631
RNU6-632P,10,25819363,25819426
RN7SL7P,7,92971002,92971299
RNU6-956P,7,94712409,94712511
RNU6-405P,17,16691798,16691907
RNU6-935P,X,50649641,50649740
SNORD114-13,14,100969879,100969952
AC136611.1,16,28179098,28179223
RNU1-32P,2,60384605,60384763
MIR3972,1,17277889,17277975
AC022415.1,19,12088245,12088346
AL109954.1,20,23457584,23457685
AF111168.1,14,77466284,77466436
AC016596.2,5,56000518,56000621
RN7SL165P,1,26814822,26815112
RN7SL280P,22,21722895,21723182
RNU6-1225P,X,68102068,68102132
MIR553,1,100281241,100281308
AC105398.1,2,28972414,28972521
SNORD14C,11,123059335,123059422
SNORD62B,9,131490486,131490571
AL807743.1,X,136134317,136134420
SNORA70,X,154400281,154400415
RNU6-1319P,1,223976146,223976249
MIR205,1,209432133,209432242
AC080038.1,17,62661621,62661725
RNU6-1146P,20,56667430,56667531
AL158209.1,10,21455236,21455515
SNORA80A,21,32377187,32377322
BX005439.1,CHR_HSCHR6_MHC_SSTO_CTG1,31487449,31487550
RNU1-64P,6,11503509,11503671
RN7SL856P,2,25058032,25058329
MIR26A2,12,57824609,57824692
RNU6-429P,5,11027200,11027307
AC004080.15,7,27187819,27188021
AC012358.2,2,55286018,55286128
SNORD41,19,12706449,12706518
MIR665,14,100875033,100875104
RN7SL573P,17,75041740,75042015
MIR412,14,101065447,101065537
AL390119.1,1,164854231,164854332
RNU6-359P,16,68017710,68017817
RNU6-116P,18,61391595,61391703
RNU6-742P,18,57755394,57755500
RNU6-527P,6,106607716,106607819
AL157838.2,20,53544615,53544725
RNU7-194P,4,150209706,150209768
AC016876.1,17,7537096,7537196
MIR4538,14,105858165,105858242
RN7SL847P,10,33034655,33034924
AC012377.1,15,39922782,39922886
AC104843.3,7,152592973,152593091
RN7SL238P,15,28387196,28387485
RN7SL246P,12,45874035,45874330
RNA5SP138,3,126564565,126564678
RN7SL697P,X,154495815,154496113
RNA5SP64,1,166042244,166042350
RNA5SP244,7,129756266,129756377
MIR4509-2,15,28426491,28426584
RN7SL853P,15,72664577,72664799
RNU6-216P,11,74968189,74968292
RNU4-50P,8,58814412,58814552
AL121924.1,20,5121417,5121539
RNU6-778P,1,199888159,199888261
RNU6-184P,Y,16336283,16336389
RN7SL462P,9,61427617,61427877
MIR5572,15,80581103,80581239
RNU5E-3P,4,48574453,48574520
AL392105.1,9,130120806,130120912
PADI1,CHR_HG2095_PATCH,17205128,17246007
MIR549A,15,80841978,80842073
AC113410.1,5,132993099,132993200
RN7SL323P,8,56022019,56022313
AC092324.1,16,12842487,12842610
Z99774.2,22,26672164,26672248
RN7SL523P,14,100319073,100319370
RNA5SP446,17,66895491,66895572
MIR193A,17,31559996,31560083
RN7SL680P,20,39349094,39349392
AC116622.1,KI270750.1,148668,148843
RNA5SP407,16,35734639,35734748
RNA5-8SN3,21,8395607,8395759
MIR4429,2,11540605,11540677
AL162739.1,1,62211557,62211666
RNU7-129P,18,12400412,12400473
AC006517.1,12,7800361,7800467
SNORD114-17,14,100974806,100974880
SNORD115-16,15,25199448,25199529
RNA5SP206,6,32078508,32078628
MIR4267,2,110069961,110070042
VTRNA2-2P,2,65555432,65555534
RNA5SP389,14,106636672,106636786
RCC2-AS1,CHR_HG2095_PATCH,17409469,17410091
MIR6810,2,218341911,218341980
RNU6-1303P,9,77635203,77635309
RNU6-1133P,6,31083010,31083109
RNU6-234P,2,238412642,238412745
RNA5SP485,20,45559758,45559876
RCC2,CHR_HG2095_PATCH,17409469,17442386
RNU6-751P,19,53749851,53749951
MIR941-2,20,63919505,63919576
RN7SKP239,11,67362414,67362708
RNA5SP278,8,140940562,140940663
ST13P19,CHR_HG1832_PATCH,210265636,210267241
VSTM1,CHR_HSCHR19LRC_COX1_CTG3_1,54040833,54063953
RNU6-340P,18,2649761,2649867
RNU6-1130P,X,130310072,130310178
AC091133.2,17,48956650,48956753
AL627230.2,9,67697076,67697187
MIR885,3,10394489,10394562
RNU6-687P,10,54452423,54452511
RNU6-1331P,8,53914719,53914824
SNORA58B,1,154259727,154259862
RNU6-19P,15,65553081,65553187
MIR196B,7,27169480,27169563
RN7SKP63,22,21389191,21389491
RNA5SP307,10,26509589,26509704
AL929581.1,CHR_HSCHR6_MHC_QBL_CTG1,32485042,32485188
AP000967.1,21,17576798,17576906
RNU6-9,19,893484,893590
RN7SL577P,15,49042341,49042643
MIR3610,8,116874728,116874800
RN7SKP19,1,73191604,73191855
RNU2-45P,6,28410270,28410456
SNORA75,2,231455800,231455936
AC131235.1,3,184086791,184086903
MIR1302-7,8,141786242,141786313
CR753309.2,CHR_HSCHR6_MHC_DBB_CTG1,32546409,32546557
RN7SKP190,16,82192505,82192790
AL109925.6,1,63549133,63549216
AC012572.4,CHR_HSCHR18_ALT21_CTG2_1,78544095,78544188
MIRLET7F1,9,94176347,94176433
AC004918.3,CHR_HSCHR7_1_CTG6,141733992,141734156
CR788250.3,CHR_HSCHR6_MHC_MCF_CTG1,32608365,32608516
RN7SL252P,7,96940068,96940364
RN7SKP119,2,47359505,47359777
RNU6-1199P,1,758233,758336
MIR361,X,85903636,85903707
SNORD116-3,15,25056860,25056954
AC134026.1,3,154329716,154329819
RNU6-1258P,CHR_HSCHR14_7_CTG1,93437400,93437510
RNA5SP86,2,20401627,20401724
RNU6-1062P,1,151629324,151629430
AC007435.1,2,175092401,175092587
MIR513C,X,147189704,147189787
AC034186.1,3,8931506,8931631
RNA5SP123,3,12511095,12511213
AC106873.4,7,116959593,116959805
SNORA3A,11,8684227,8684356
RNU6-470P,17,43412427,43412530
AC091038.1,18,21724119,21724229
AL138690.2,13,34910545,34910815
AL355493.2,CHR_HSCHR10_1_CTG1,27382801,27382907
RNU6-467P,17,20323001,20323110
RN7SKP265,3,181968459,181968681
AC144587.1,CHR_HSCHR5_2_CTG1_1,69478716,69478984
AC255560.1,CHR_HG126_PATCH,72505075,72550889
RNU7-29P,1,26602369,26602432
CR753835.1,CHR_HSCHR6_MHC_MANN_CTG1,32720817,32720965
SNORD115-25,15,25215541,25215622
RNU6-780P,10,86488446,86488549
RN7SL424P,4,55063738,55064026
RNU6-345P,X,101915589,101915695
RN7SL446P,4,152264150,152264445
RNU6-112P,4,88275205,88275308
RNU6-610P,15,43637632,43637738
AL929472.5,1,37884237,37884317
RNU7-171P,9,128543916,128543977
AF124730.1,21,29180425,29180639
AC091231.1,15,64445130,64445243
AC142525.2,CHR_HSCHR5_2_CTG1_1,69530371,69530475
SNORA14B,1,235127803,235127937
AC094019.3,3,32045873,32045979
RNU6-215P,7,5180061,5180162
RNU6-252P,14,21113639,21113745
RNU1-42P,17,48949361,48949520
RNU6-1285P,4,154543933,154544037
RN7SL40P,2,202357076,202357417
RNU6-914P,8,98192205,98192313
AC007272.2,2,201097744,201098091
RNU6-325P,10,85537379,85537483
RNA5SP251,8,3700492,3700628
RNU6-87P,12,51014134,51014241
AP000272.1,21,32538299,32538434
AL049860.1,6,67625356,67625464
RNA5SP477,20,21138956,21139074
AC243627.1,CHR_HSCHR17_2_CTG5,46366710,46366990
RNU6ATAC41P,8,100739802,100739927
AL356608.2,10,103027336,103027498
AL137139.1,13,99783857,99783983
RN7SL284P,CHR_HSCHR10_1_CTG4,77912271,77912545
SCARNA6,2,233288676,233288940
RN7SKP162,12,13683542,13683886
RNA5SP479,20,23380896,23381012
RNU6-984P,9,109196201,109196309
AC079880.1,4,67747236,67747386
AL138776.1,1,182576772,182577040
RNU1-65P,10,84003332,84003479
AC009228.2,2,24273614,24273741
RNVU1-21,1,148334612,148334767
RNU7-182P,2,127017421,127017482
RNU6-369P,1,44390722,44390823
RNU1-30P,3,126160283,126160445
AP000944.2,11,65423960,65424118
RNU6-559P,9,15143289,15143386
RNU6-1205P,1,248912690,248912795
RNU7-111P,15,89897576,89897637
AC108065.1,4,88723209,88723316
RN7SL792P,17,15408384,15408688
AC024032.2,4,139155153,139155444
AL035450.1,22,40917111,40917381
RNU6-1093P,12,50256238,50256344
RNA5SP412,16,35746772,35746894
SNORD116-15,15,25081287,25081378
RNU1-27P,14,34546714,34546877
RN7SL650P,14,21429508,21429806
RN7SKP195,1,237120807,237121109
AC003688.1,17,7266055,7266166
RNY4P36,17,76703632,76703727
RNU7-75P,5,37327135,37327196
FO681485.1,1,516376,516479
RN7SKP254,15,96486582,96486891
AL591387.1,6,103583135,103583268
AC105916.1,4,9711953,9712233
RNU6-551P,4,107435118,107435220
RNU6-1243P,11,61937894,61938000
AC074021.1,7,116320751,116321031
RNA5SP294,9,111411644,111411742
RNU6-788P,3,23641489,23641592
AC012640.3,5,10337277,10337386
AC096533.2,1,205684018,205684307
SCARNA18B,1,193057281,193057415
RNU6-952P,11,102313722,102313829
AL606748.2,X,38308112,38308241
SNORA60,20,38449370,38449503
SNORA63B,3,186786323,186786445
AC025252.1,12,127619336,127619447
RNA5SP99,2,81496214,81496327
RNU7-137P,20,18095571,18095632
RN7SL817P,2,46448224,46448511
RNU6-1297P,1,155419397,155419500
AC073135.5,CHR_HSCHR3_9_CTG3,198193139,198193242
RNU6-466P,15,30956248,30956350
RNU6-603P,6,32352877,32352983
RNU6-1098P,3,149525631,149525726
RNA5SP264,8,36764445,36764551
RNA5SP65,1,167005959,167006077
RNU6-1024P,3,15433110,15433216
AC004386.3,X,74280402,74280495
AC118650.1,8,46028804,46028892
RNU6-1029P,2,197447745,197447851
RN7SL353P,6,30751038,30751289
AC073912.1,12,130906838,130906949
AL121715.1,6,36672838,36672944
SNORD14B,11,17075779,17075868
AC009884.1,8,18979619,18979772
RNU6-747P,CHR_HSCHR1_3_CTG32_1,243081156,243081259
AL365219.1,6,51464690,51464765
RNU6-143P,3,124407691,124407783
AC106873.7,7,116953214,116953324
AC024051.9,17,43271369,43271559
AC026347.1,3,152449272,152449384
SNORD15B,11,75404421,75404566
AC079835.1,4,125362819,125362929
AC025771.2,CHR_HSCHR5_2_CTG1,29079384,29079498
AC117415.2,3,181715185,181715293
RNA5SP425,16,47505432,47505543
AC004080.13,7,27188816,27188994
RNA5SP505,X,53909054,53909161
RNU6-680P,5,75709495,75709599
RNA5SP496,22,31305404,31305512
SNORD13E,15,65696833,65696936
RNU6-1108P,15,44927600,44927703
RNA5SP302,10,14663395,14663494
AC136352.1,CHR_HSCHR15_1_CTG1,21428930,21429036
AC108065.2,4,88710147,88710265
RNA5SP484,20,40854119,40854229
RNU6-553P,4,105406997,105407092
RNA5SP140,3,133710076,133710167
SNORD56,20,2656624,2656694
RNU6-179P,1,154039916,154040022
RN7SL262P,X,49152651,49152944
AC009951.1,2,144520456,144520555
AC100803.1,8,141447475,141447549
AL109925.2,1,63549294,63549366
MIR4711,1,59733227,59733296
AC073418.1,7,146208665,146208819
RN7SL775P,17,17178414,17178749
SCARNA23,X,24744441,24744570
RNU7-192P,4,188716665,188716725
MIR3117,1,66628440,66628517
RN7SL819P,17,44718861,44719130
SNORD13,8,33513475,33513578
RN7SKP227,3,36685040,36685369
MIR942,1,117094643,117094728
RN7SL185P,15,32394365,32394613
RNU6-275P,12,8484746,8484852
AC137488.1,22,11249809,11249959
AL390877.1,1,117688621,117688742
RNU1-56P,X,71020275,71020438
RNU6-822P,3,20268965,20269070
MIR3123,1,241132272,241132346
Z77249.1,X,133152754,133152892
AC090695.1,15,100638363,100638457
RN7SL666P,20,43222206,43222509
RNU6ATAC23P,X,139885481,139885603
RNA5SP310,10,45856307,45856422
MIR4294,10,48985512,48985587
AL080243.1,22,41065554,41065646
RNU6-1177P,1,61852499,61852602
SNORD113-8,14,100943451,100943524
AC097173.1,4,119947131,119947232
RNU6-805P,10,72391964,72392069
MIR7113,11,68032864,68032922
RNU6-415P,15,78898840,78898936
RNU6-1176P,1,65022968,65023074
AC013738.1,10,76835377,76835502
RNA5SP143,3,142591677,142591791
MIR3922,12,104591633,104591716
RNU6-1046P,14,23259460,23259566
AC023855.1,17,44025020,44025223
SNORA37,18,54222284,54222412
RN7SL451P,1,8979576,8979874
AL137230.1,14,89650793,89650903
MIR541,14,101064495,101064578
AL391827.2,10,101912998,101913279
RNU7-187P,11,112977353,112977420
RNU2-27P,18,9518119,9518260
SNORD115-35,15,25234247,25234328
RN7SL173P,6,158437797,158438088
AC022211.1,17,75145670,75145762
MIR211,15,31065032,31065141
RN7SL678P,21,37215605,37215903
RN7SL154P,19,34421988,34422311
RN7SL604P,2,69516751,69517046
RN7SL444P,1,151300665,151300964
MIR3180-5,16,2135977,2136129
RN7SL614P,1,10616836,10617115
RN7SL677P,15,97353497,97353815
AL139113.1,9,33830978,33831078
AC004080.9,7,27200465,27200521
MIR3178,16,2531922,2532005
AL606804.2,1,247607126,247607201
RNA5SP449,18,9844717,9844846
AC003070.3,CHR_HSCHR17_2_CTG5,45327366,45327497
MIR5047,17,64501214,64501313
AL109925.5,1,63549374,63549463
BX001039.1,CHR_HSCHR6_MHC_QBL_CTG1,32310327,32310433
SNORD42B,17,28720550,28720616
MIR6724-3,21,8388362,8388453
RNA5SP257,8,20290174,20290289
RN7SL398P,10,33288304,33288601
AC107024.1,3,86125216,86125287
AC211486.5,7,75297990,75298091
MIR3198-1,22,17764180,17764259
RN7SKP64,5,139333038,139333365
RN7SKP110,6,90001222,90001506
MIR130B,22,21653304,21653385
RN7SL400P,15,21102843,21103138
AL356356.2,1,150608507,150608623
RNA5SP286,9,73750972,73751077
RNU6-360P,2,208019638,208019741
MIR378I,22,41923222,41923297
RN7SL313P,2,97100587,97100874
AC004522.1,7,99936610,99936711
AL132994.1,14,38987281,38987383
MIR5003,5,172662165,172662263
AL136418.2,14,31244761,31244861
AC091826.1,5,88382772,88382907
RNA5SP338,11,22688351,22688435
SNORA40B,2,135136628,135136755
MIR4640,6,30890883,30890972
AL445248.2,1,32087523,32087813
RN7SL146P,19,16539688,16539984
RNA5SP531,8,48316669,48316770
RN7SKP187,7,112288623,112288952
MIR6834,6,33290245,33290325
AL592430.1,10,60081741,60081854
AL009181.1,1,28881726,28881835
MIR3666,7,114653345,114653455
RN7SKP83,2,85820435,85820612
BX088647.2,CHR_HSCHR6_MHC_SSTO_CTG1,30026277,30026344
RNU6-508P,2,59647621,59647723
MIR4664,8,143733083,143733153
AL157858.1,CHR_HSCHR14_7_CTG1,93637179,93637338
RNA5SP121,2,227763052,227763152
AL121839.3,CHR_HSCHR14_1_CTG1,91718574,91718789
SNORA80C,16,30419625,30419759
MIR452,X,151959628,151959712
AP000552.4,22,21379382,21379701
RNU6-792P,1,111490317,111490423
RN7SKP103,2,132523617,132523936
RNA5SP300,10,12924679,12924785
RN7SKP79,5,6848127,6848462
AC080069.1,2,201423513,201423604
AC016813.1,8,38744020,38744131
RNU1-129P,1,148014417,148014583
RNU6-599P,9,42863200,42863306
SNORD115-23,15,25211796,25211877
RN7SL251P,2,85442495,85442791
AL021155.2,1,11843812,11843984
RNU6-334P,5,104780288,104780389
RN7SL375P,13,60034465,60034762
RNU6-1015P,X,112919132,112919230
AC247039.1,1,120670127,120670376
SCARNA11,12,6581474,6581609
RNU6-396P,21,46525618,46525722
RN7SL520P,16,75698531,75698816
AC243679.1,CHR_HSCHR15_4_CTG8,30506091,30506195
AL355301.1,10,98076361,98076421
BX120007.4,CHR_HSCHR6_MHC_SSTO_CTG1,32539820,32539971
RNU6-1270P,3,73241789,73241896
RNU6-921P,14,68735922,68736028
RNU7-164P,X,40535502,40535563
RN7SL861P,1,162777730,162778014
AL031684.1,20,16982831,16983033
RNU5B-6P,10,109184934,109185001
RNU6-689P,14,75020761,75020867
RNU6-339P,15,84938416,84938522
RNY1P13,1,114727720,114727824
RNU1-51P,CHR_HSCHR4_6_CTG12,189709539,189709714
RN7SL214P,15,77916718,77916982
RNU6-520P,4,70701755,70701858
RNU7-37P,X,120503037,120503096
AC008006.1,18,56753226,56753326
RNU6ATAC40P,7,144451681,144451817
AC093867.1,4,121329069,121329170
AL136303.1,6,20500175,20500276
RNU6-475P,6,114866873,114866976
RN7SKP232,5,151704289,151704578
AL137022.1,9,21524307,21524382
RNA5SP63,1,163509484,163509595
RNU6-294P,5,64573569,64573670
AC131156.1,3,186076306,186076591
RNU4-24P,12,96303375,96303513
RN7SL453P,10,47692399,47692727
AP003063.1,11,112602354,112602452
RNU6-961P,2,20175805,20175909
RNA5SP93,2,56235217,56235330
RN7SKP11,12,96427200,96427486
RNA5SP458,CHR_HSCHR18_1_CTG1_1,50319002,50319120
RNU4-56P,3,39970125,39970266
AP003392.6,11,118994334,118994630
RN7SL712P,X,115992466,115992773
RNA5SP421,16,35754555,35754688
RNU6-313P,7,66344303,66344414
AC025647.2,8,100158868,100158975
AC010150.1,2,25697076,25697188
RN7SL664P,3,48094801,48095105
CR388205.2,CHR_HSCHR6_MHC_DBB_CTG1,30048444,30048519
AC008635.1,19,46736312,46736419
RNU6-208P,16,71666091,71666197
SNORD69,3,52692736,52692812
RN7SL325P,X,137595265,137595547
RN7SL378P,5,82078427,82078724
SNORA25B,7,115581315,115581442
BX649210.3,CHR_HSCHR6_MHC_SSTO_CTG1,32619811,32619974
RNA5-8SN1,21,8439823,8439975
Z83840.1,22,41648089,41648190
RN7SKP277,7,121736443,121736725
RNU1-82P,7,141727984,141728148
AC096733.1,4,140779039,140779141
RNA5SP108,2,161409554,161409670
AL662867.1,CHR_HSCHR6_MHC_COX_CTG1,31075504,31075603
RNU1-73P,5,97175950,97176113
AL591806.3,1,161141208,161141336
RNU4-78P,3,42221840,42221965
AC243687.2,CHR_HSCHR15_4_CTG8,30711324,30711614
AC073575.2,12,112069104,112069209
AL691482.1,1,202070841,202070943
AL669813.3,CHR_HSCHR6_MHC_COX_CTG1,29744335,29744436
AC012119.1,8,23806229,23806377
SNORD31B,13,107320895,107320963
RNA5SP416,16,35751574,35751684
AL132992.1,14,63479272,63479413
SNORA59A,1,12507246,12507397
AL391421.2,10,77966173,77966440
RNA5SP500,X,28982852,28982970
RNU6-879P,12,57415296,57415403
RN7SL684P,5,176547433,176547726
AL671859.1,CHR_HSCHR6_MHC_COX_CTG1,30122730,30122889
RNU7-185P,9,8797135,8797194
AP000590.1,11,70705167,70705269
RNU1-112P,X,72740706,72740869
AC021105.1,4,82944738,82944845
RNU6-794P,10,35231331,35231394
AC040173.1,16,14275508,14275600
RNU1-101P,8,70077906,70078032
AC010655.5,7,128483907,128484158
AC131953.1,4,40826655,40826765
RNU6-68P,13,46410454,46410557
CR753093.1,CHR_HSCHR6_MHC_DBB_CTG1,30854930,30855232
RNA5SP406,16,35734393,35734504
RN7SL842P,19,14588357,14588656
RN7SL285P,6,37832922,37833185
RNY4P17,4,169005249,169005344
RNU1-5P,1,16873708,16873851
AC092630.1,2,72760534,72760602
AC137675.2,3,27547757,27547858
SNORD98,10,68755172,68755238
AL590434.1,1,35195969,35196062
RNY4P25,1,151439000,151439095
RNU1-70P,3,170994870,170995033
RN7SL756P,17,67457023,67457290
RNA5SP51,1,85883680,85883798
SNORD109B,15,25278343,25278409
RN7SKP247,1,81251789,81252096
AL451137.1,9,26796173,26796304
RNA5SP19,1,228555793,228555901
RNA5SP196,5,146586099,146586200
RN7SKP188,4,167662986,167663302
AP001043.2,21,38894785,38894867
AL450304.2,1,182944365,182944490
RNU6-390P,5,157579497,157579599
AL022315.2,22,37578669,37578922
SNORD107,15,24981994,24982068
AC087893.2,12,108778144,108778271
RN7SL254P,4,147808926,147809209
RN7SL541P,5,134517810,134518092
AL445423.2,1,220825776,220825893
SNORD115-12,15,25191416,25191497
RNU6-301P,14,51724103,51724209
RNA5-8SN2,21,8212572,8212724
AC007375.1,14,77201026,77201140
RN7SKP238,10,85650012,85650260
RNU6-264P,9,19073843,19073946
AC217773.1,17,46215070,46215171
RNA5SP342,11,71845196,71845245
AC007351.4,12,97493897,97494003
RNU6-947P,1,244954858,244954963
RN7SKP16,1,33336566,33336864
AC106873.6,7,116956431,116956723
AC099689.3,CHR_HSCHR18_ALT2_CTG2_1,79090905,79091276
AC068594.3,CHR_HSCHR17_3_CTG4,77292191,77292428
AP002800.2,11,118157849,118162518
MIR507,X,147230984,147231077
